customer_id,first_name,last_name,age,country,purchase_date,purchase_price,sale_date,sale_price,profit,gender,birthdate,income,education_level,marital_status,children_count,home_ownership,credit_score,credit_card_debt,loan_amount,loan_interest_rate,loan_duration,customer_segment,purchase_frequency,website_visits,app_usage_duration,customer_satisfaction,Customer_name,,,,
36,Kane,Tilbrook,70,China,27-Feb-11,8049.63,15-Feb-12,4944.59,-3105.04,Male,08-Aug-04,307470.87,Bachelor's Degree,Divorced,0,Own,839,43545.56,523766.65,22.5,18,Segment B,Daily,799,9,5,Kane Tilbrook,,,,
43,Diarmid,Tingcomb,70,China,10-Feb-10,9318.29,14-Dec-15,1868.68,-7449.61,Male,09-Aug-84,77686.43,Master's Degree,Single,9,Rent,582,56753.12,580439.37,15.71,19,Segment C,Daily,644,6,5,Diarmid Tingcomb,,,,
45,Ferguson,Beaulieu,35,China,26-Mar-13,7878.51,30-Apr-21,6355.91,-1522.6,Male,11-Mar-40,599924.79,PhD,Divorced,1,Mortgage,763,76776.2,35381.35,12.92,23,Segment B,Daily,66,5,5,Ferguson Beaulieu,,,,
54,Dannie,Fakes,23,China,01-Feb-11,93.91,22-Jul-22,6673.2,6579.29,Male,02-Jul-74,365254.06,Master's Degree,Single,2,Rent,827,73706.96,190701.52,41.53,14,Segment A,Once,845,8,5,Dannie Fakes,,,,
61,August,Leinthall,37,China,13-Oct-22,9283.94,26-Aug-11,2307.12,-6976.82,Male,17-Mar-35,615079.77,Bachelor's Degree,Widowed,1,Rent,509,55424.67,825013.53,11.15,22,Segment A,Never,289,24,4,August Leinthall,,,,
73,Rodd,Bryett,62,China,16-Oct-19,1768.34,13-Mar-16,577.73,-1190.61,Male,25-May-86,883050.38,PhD,Divorced,7,Rent,786,98347.15,896323.9,35.99,4,Segment C,Once,539,16,5,Rodd Bryett,,,,
75,Raymund,Worrill,48,China,09-May-16,5063.76,06-Jan-15,9801.64,4737.88,Male,06-Mar-93,29884.5,Bachelor's Degree,Divorced,8,Mortgage,675,93004.64,750270.37,41.99,12,Segment B,Yearly,548,17,5,Raymund Worrill,,,,
86,Perkin,Dust,62,China,23-Feb-19,7925.02,23-Nov-11,2419.02,-5506,Male,29-May-94,667667.19,PhD,Single,10,Mortgage,634,3108.63,32472.61,35.09,12,Segment B,Monthly,472,4,5,Perkin Dust,,,,
90,Dannel,Van Baaren,59,China,07-Jan-14,1877.1,31-Oct-20,6661.54,4784.44,Male,11-Oct-42,841241.38,High School,Single,8,Rent,325,26971.35,409175.33,16.48,28,Segment C,Often,828,15,2,Dannel Van Baaren,,,,
97,Mikel,Rubega,25,China,03-Oct-20,6687.99,21-Oct-17,5981.85,-706.14,Male,27-Nov-05,521450.44,PhD,Single,7,Mortgage,446,32093.53,955232.88,33.29,15,Segment B,Seldom,824,7,1,Mikel Rubega,,,,
128,Roddie,Robardey,27,China,28-Jul-22,4356.82,25-Apr-19,1478.75,-2878.07,Male,21-Oct-65,491508.8,Master's Degree,Single,4,Rent,812,73991.08,152741.94,39.96,13,Segment B,Daily,921,11,4,Roddie Robardey,,,,
147,Mack,Tommen,52,China,19-Feb-16,1048.83,04-May-14,7337,6288.17,Male,10-May-52,127720.87,Bachelor's Degree,Widowed,9,Rent,734,55758.26,327724.95,29.12,17,Segment B,Weekly,548,10,5,Mack Tommen,,,,
155,Gard,Perview,66,China,12-Aug-17,6079.18,02-Aug-20,9568.75,3489.57,Male,30-Mar-38,405526.78,PhD,Single,9,Own,465,55600.73,853161.62,8.14,9,Segment A,Once,519,1,2,Gard Perview,,,,
166,Vinny,McLeary,40,China,10-May-14,7176.51,23-Dec-16,6060.75,-1115.76,Male,07-Apr-82,523807.91,Master's Degree,Married,0,Own,830,49711.01,784781.91,12.18,23,Segment C,Seldom,842,12,2,Vinny McLeary,,,,
